CardID,SetNum,SetName,Rarity,RarityCode,CardNumber,Title,Kind,Culture,Twilight,CardType,GameText,WikiID
7C262,7,7 - Return of the King,Common,C,262,Above the Battlement,Shadow,Sauron,0,Event,Play a besieger stacked on a site you control or remove a burden to play a Orc from your discard pile.,LOTR-EN07S262.0
10R75,10,10 - Mount Doom,Rare,R,75,Advance Captain,Shadow,Sauron,3,Minion,Each roaming minion is damage +1.,LOTR-EN10S075.0
10C76,10,10 - Mount Doom,Common,C,76,Advance Marauder,Shadow,Sauron,3,Minion,Skirmish: exert this minion to make a roaming minion strength +3.,LOTR-EN10S076.0
10C77,10,10 - Mount Doom,Common,C,77,Advance Regular,Shadow,Sauron,3,Minion,Each roaming minion is fierce.,LOTR-EN10S077.0
10U78,10,10 - Mount Doom,Uncommon,U,78,Advance Scout,Shadow,Sauron,2,Minion,Shadow: Exert or discard this minion to make each minion you spot roaming until the regroup phase.,LOTR-EN10S078.0
4U136,4,4 - The Two Towers,Uncommon,U,136,Advance Uruk Patrol,Shadow,Isengard,5,Minion,"Damage +1. While at a battleground, this minion is fierce. While you control a battleground, this minion is strength +4.",LOTR-EN04S136.0
15R155,15,15 - The Hunters,Rare,R,155,Advancing Horde,Shadow,Uruk-hai,6,Minion,Damage +1. This minion is strength +1 for each site you control.,LOTR-EN15S155.0
12C134,12,12 - Black Rider,Common,C,134,Advancing Uruk,Shadow,Uruk-hai,3,Minion,"Damage +1. Muster. (At the start of the regroup phase, you may discard a card from hand to draw a card.) When you cannot spot another minion, discard this minion.",LOTR-EN12S134.0
10U4,10,10 - Mount Doom,Uncommon,U,4,"Aegnor, Elven Escort",Free Peoples,Elven,2,Companion,Skirmish: Exert Aegnor to make a minion skirmishing an unbound companion strength –1 for each archer you spot.,LOTR-EN10S004.0
6R57,6,6 - Ents of Fangorn,Rare,R,57,Agents of Orthanc,Shadow,Isengard,5,Minion,This minion is strength +2 and damage +1 for each Free Peoples culture that you can spot over 2.,LOTR-EN06S057.0
8C1,8,8 - Siege of Gondor,Common,C,1,Aggression,Free Peoples,Dwarven,1,Condition,"While you have initiative, each Dwarf is damage +1. Fellowship: Spot a Dwarf who is damage +X to draw X cards. Discard this condition.",LOTR-EN08S001.0
6C12,6,6 - Ents of Fangorn,Common,C,12,Agility,Free Peoples,Elven,2,Condition,"When you play this condition, you may spot an Elf to place 2 tokens here. Skirmish: Discard this condition or remove an token from here to make a minion skirmishing an Elf strength –1.",LOTR-EN06S012.0
13U28,13,13 - Bloodlines,Uncommon,U,28,"Alatar, Final Envoy",Free Peoples,Gandalf,2,Follower,"Aid –. (At the start of the maneuver phase, you may add to transfer this to a companion.) Each time you transfer this to a companion, you may reinforce a token. While you can spot a companion, each minion skirmishing bearer is strength –1.",LOTR-EN13S028.0
13R78,13,13 - Bloodlines,Rare,R,78,Alatar Deceived,Shadow,Isengard,3,Condition,"Each time a Wizard wins a skirmish, this condition becomes a fierce, damage +1 Wizard minion until the start of the regroup phase that has 11 strength and 1 vitality, and cannot take wounds or bear other cards. This card is still a condition.",LOTR-EN13S078.0
1R69,1,1 - The Fellowship of the Ring,Rare,R,69,"Albert Dreary, Entertainer From Bree",Free Peoples,Gandalf,1,Ally,"To play, spot Gandalf. Maneuver: Exert Albert Dreary to discard a or condition.",LOTR-EN01S069.0
5R31,5,5 - Battle of Helm's Deep,Rare,R,31,"Alcarin, Warrior of Lamedon",Free Peoples,Gondor,3,Companion,Knight. The twilight cost of each other knight in your starting fellowship is -1. Assignment: Assign Alcarin to a minion bearing a fortification to heal Alcarin.,LOTR-EN05S031.0
4R262,4,4 - The Two Towers,Rare,R,262,"Aldor, Soldier of Edoras",Free Peoples,Rohan,1,Ally,Archery: Exert Aldor and spot a villager to make the fellowship archery total +1.,LOTR-EN04S262.0
12C107,12,12 - Black Rider,Common,C,107,"Aldred, Eored Soldier",Free Peoples,Rohan,1,Companion,"At the start of each skirmish involving Aldred, you may discard a possession borne by a minion he is skirmishing.",LOTR-EN12S107.0
32HC25,32,32 - The Hobbit Draft Game: Supplementary Packs,HC,HC,25,"Alfrid, Lickspittle",Shadow,Men,2,Minion,"Each time a [Esgaroth] ally is assigned to a skirmish, exert a [Dwarven] companion. Maneuver: Heal a [Esgaroth] ally to play Alfrid from your discard pile. Skirmish: Exert Alfrid twice to play a Shadow condition from your draw deck.",HDG-EN32S025.0
1R120,1,1 - The Fellowship of the Ring,Rare,R,120,Alive and Unspoiled,Shadow,Isengard,2,Condition,"To play, exert an Uruk-hai. Shadow: Remove and spot X burdens to make the Free Peoples player reveal X cards at random from hand. You may discard 1 revealed card.",LOTR-EN01S120.0
1U203,1,1 - The Fellowship of the Ring,Uncommon,U,203,All Blades Perish,Shadow,Ringwraith,0,Event,"Response: If a Nazgûl is about to take a wound, prevent that wound.",LOTR-EN01S203.0
18U132,18,18 - Treachery & Deceit,Uncommon,U,132,All Life Flees,Shadow,Ringwraith,2,Event,"To play, spot a Nazgûl. Remove to choose one: discard a follower from play that has a twilight cost of X; or play from deck a minion that has a twilight cost of X.",LOTR-EN18S132.0
7C31,7,7 - Return of the King,Common,C,31,All Save One,Free Peoples,Gandalf,2,Event,Make Gandalf strength +2 (or +4 and damage +1 if you have initiative).,LOTR-EN07S031.0
1U239,1,1 - The Fellowship of the Ring,Uncommon,U,239,All Thought Bent on It,Shadow,Sauron,2,Event,Search. Maneuver: Spot a Orc and 5 companions to make the Free Peoples player exert a companion for each companion over 4.,LOTR-EN01S239.0
1R204,1,1 - The Fellowship of the Ring,Rare,R,204,All Veils Removed,Shadow,Ringwraith,1,Event,Skirmish: Make a Nazgûl strength +2 (or +5 if the Ring-bearer wears The One Ring).,LOTR-EN01S204.0
4R58,4,4 - The Two Towers,Rare,R,58,Alliance Reforged,Free Peoples,Elven,3,Event,Tale. Fellowship: Draw a card for each Elf companion you spot.,LOTR-EN04S058.0
13U103,13,13 - Bloodlines,Uncommon,U,103,Always Threatening,Shadow,Orc,1,Condition,"When you play this, you may add an token here for each condition you can spot. Skirmish: Discard this from play or remove 2 tokens from here to make a lurker minion strength +2.",LOTR-EN13S103.0
1R88,1,1 - The Fellowship of the Ring,Rare,R,88,An Able Guide,Free Peoples,Gondor,0,Event,Regroup: Spot a ranger to remove .,LOTR-EN01S088.0
31HA38,31,31 - The Hobbit Draft Game: Shadow Packs,HA,HA,38,An Acorn from Beorn's house,Free Peoples,Shire,1,Possession,Bearer must be Bilbo. Regroup: Discard this possession to remove a doubt and discard a Shadow condition.,HDG-EN31S038.0
4U282,4,4 - The Two Towers,Uncommon,U,282,An Honorable Charge,Free Peoples,Rohan,1,Event,Skirmish: Make an unbound companion strength +1 for each Man you spot (limit +3).,LOTR-EN04S282.0
31HA39,31,31 - The Hobbit Draft Game: Shadow Packs,HA,HA,39,An Invisible Ring,Free Peoples,Shire,1,Event,"If Bilbo wears the One Ring, wound each minion he is skirmishing. Then remove this event from the game.",HDG-EN31S039.0
0P58,0,0 - Promotional,Promo,P,58,"Anarion, Lord of Anorien",Free Peoples,Gondor,3,Companion,"Skirmish: Play a skirmish event to make each minion skirmishing Anárion strength -X, where X is Anárion's vitality.",LOTR-EN00S058.0
6C48,6,6 - Ents of Fangorn,Common,C,48,"Anborn, Skilled Huntsman",Free Peoples,Gondor,2,Companion,"Ring-bound. Ranger. Each time Anborn wins a skirmish, you may make a minion’s site number +3 until the regroup phase.",LOTR-EN06S048.0
31HD29,31,31 - The Hobbit Draft Game: Shadow Packs,HD,HD,29,Ancestral Feuds,Shadow,File:Culture Mirkwood.svg Mirkwood,2,Condition,"Each time the fellowship moves to site 5, discard each weapon borne by a [Dwarven] companion. SkirmishÂ : Remove [3] to make a [Dwarven] companion strength -X (limit -3), where X is the number of [Elven] allies you spot.",HDG-EN31S029.0
30S1,30,30 - The Hobbit Draft Game: Main Deck,Starter,S,1,Ancestral Knowledge,Free Peoples,Dwarven,2,Event,Exert a Dwarf character to discard a condition (or 2 conditions if you can spot 4 Shadow conditions).,HDG-EN30S001.0
7U15,7,7 - Return of the King,Uncommon,U,15,Ancient Blade,Free Peoples,Elven,2,Condition,Bearer must be an companion. Each minion gains this ability: “Assignment: Assign this minion to bearer of Ancient Blade.” Regroup: Discard this condition to discard a minion and reconcile your hand.,LOTR-EN07S015.0
1R163,1,1 - The Fellowship of the Ring,Rare,R,163,Ancient Chieftain,Shadow,Moria,4,Minion,"For each other Orc you can spot, Ancient Chieftain is strength +1.",LOTR-EN01S163.0
1U29,1,1 - The Fellowship of the Ring,Uncommon,U,29,Ancient Enmity,Free Peoples,Elven,0,Event,"Skirmish: Make an Elf strength +1. If a minion loses this skirmish to that Elf, that minion’s owner discards 2 cards at random from hand.",LOTR-EN01S029.0
6R49,6,6 - Ents of Fangorn,Rare,R,49,Ancient Roads,Free Peoples,Gondor,1,Condition,"While you can spot 3 rangers, the site number of each minion skirmishing a ranger is +2.",LOTR-EN06S049.0
6R126,6,6 - Ents of Fangorn,Rare,R,126,Ancient Roads (AI),Free Peoples,Gondor,1,Condition,"While you can spot 3 rangers, the site number of each minion skirmishing a ranger is +2.",LOTR-EN06S126.0
11U227,11,11 - Shadows,Uncommon,U,227,Anduin Banks,None,Site,,Site,River. The minion archery total is +2 for each companion in the fellowship over 4.,LOTR-EN11S227.0
1C356,1,1 - The Fellowship of the Ring,Common,C,356,Anduin Banks,None,Site,,Site,"River. For each companion in the fellowship over 4, add 2 to the minion archery total.",LOTR-EN01S356.0
7U341,7,7 - Return of the King,Uncommon,U,341,Anduin Banks,None,Site,,Site,River. Skirmish: Spot your minion and remove a burden to make that minion strength +2.,LOTR-EN07S341.0
11S228,11,11 - Shadows,Starter,S,228,Anduin Confluence,None,Site,,Site,"River. When the fellowship moves to this site, discard each ally from play.",LOTR-EN11S228.0
1U353,1,1 - The Fellowship of the Ring,Uncommon,U,353,Anduin Confluence,None,Site,,Site,"River. When the fellowship moves to Anduin Confluence, discard every ally.",LOTR-EN01S353.0
15U187,15,15 - The Hunters,Uncommon,U,187,Anduin River,None,Site,,Site,River. The fellowship archery total is –3.,LOTR-EN15S187.0
1C354,1,1 - The Fellowship of the Ring,Common,C,354,Anduin Wilderland,None,Site,,Site,"Forest. River. While the fellowship is at Anduin Wilderland, skip the archery phase.",LOTR-EN01S354.0
7R79,7,7 - Return of the King,Rare,R,79,"Anduril, Flame of the West",Free Peoples,Gondor,3,Artifact,"Bearer must be Aragorn. Discard other weapons he bears. He is damage +1 and cannot bear other weapons. Fellowship or Regroup: If the fellowship is at any site 2 or any site 5, play the fellowship’s next site (replacing opponent’s site if necessary).",LOTR-EN07S079.0
7R80,7,7 - Return of the King,Rare,R,80,"Anduril, King's Blade",Free Peoples,Gondor,3,Artifact,"Bearer must be Aragorn. If you cannot spot a threat, Aragorn is defender +1.",LOTR-EN07S080.0
17R27,17,17 - Rise of Saruman,Rare,R,27,"Anduril, Sword That Was Broken",Free Peoples,Gondor,3,Artifact,"Bearer must be Aragorn. He is damage +1. Each time Aragorn wins a skirmish, you may exert him to liberate a site or discard a condition borne by a companion.",LOTR-EN17S027.0
17RF5,17,17 - Rise of Saruman,RF,RF,5,"Anduril, Sword That Was Broken",Free Peoples,Gondor,3,Artifact,"Bearer must be Aragorn. He is damage +1. Each time Aragorn wins a skirmish, you may exert him to liberate a site or discard a condition borne by a companion.",LOTR-EN17A005.0
30S32,30,30 - The Hobbit Draft Game: Main Deck,Starter,S,32,Anger,Shadow,File:Culture Gundabad.svg Gundabad,1,Event,Make a minion strength +2 (or +4 if skirmishing a character bearing a follower).,HDG-EN30S032.0
4C3,4,4 - The Two Towers,Common,C,3,Anger,Shadow,Dunland,0,Event,Skirmish: Spot 3 minions or a site you control to make a Man fierce until the regroup phase.,LOTR-EN04S003.0
7C263,7,7 - Return of the King,Common,C,263,Anguish,Shadow,Sauron,1,Event,Remove 3 threats to make a character skirmishing a Orc strength –3.,LOTR-EN07S263.0
3C37,3,3 - Realms of the Elf-lords,Common,C,37,Answering the Cries,Free Peoples,Gondor,0,Condition,Skirmish: Discard a tale from hand to make a companion strength +2.,LOTR-EN03S037.0
15R56,15,15 - The Hunters,Rare,R,56,"Aragorn's Bow, Ranger's Longbow",Free Peoples,Gondor,1,Possession,Bearer must be Aragorn. He is an archer. Archery: Add a threat to wound a minion with the lowest strength.,LOTR-EN15S056.0
0P41,0,0 - Promotional,Promo,P,41,Aragorn's Bow,Free Peoples,Gondor,1,Possession,Bearer must be Aragorn. He is an archer. Archery: Exert Aragorn to wound a minion; Aragorn does not add to the fellowship archery total.,LOTR-EN00S041.0
1R90,1,1 - The Fellowship of the Ring,Rare,R,90,Aragorn's Bow,Free Peoples,Gondor,1,Possession,Bearer must be Aragorn. He is an archer. Archery: Exert Aragorn to wound a minion; Aragorn does not add to the fellowship archery total.,LOTR-EN01S090.0
1U91,1,1 - The Fellowship of the Ring,Uncommon,U,91,Aragorn's Pipe,Free Peoples,Gondor,1,Possession,Bearer must be a companion. Fellowship: Discard a pipeweed possession and spot X pipes to heal X companions.,LOTR-EN01S091.0
0P23,0,0 - Promotional,Promo,P,23,"Aragorn, Captain of Gondor",Free Peoples,Gondor,4,Companion,"Knight. At the start of each fellowship phase, you may add to heal another companion.",LOTR-EN00S023.0
7C81,7,7 - Return of the King,Common,C,81,"Aragorn, Captain of Gondor",Free Peoples,Gondor,4,Companion,"Knight. At the start of each fellowship phase, you may add to heal another companion.",LOTR-EN07S081.0
0P47,0,0 - Promotional,Promo,P,47,"Aragorn, Defender of Free Peoples",Free Peoples,Gondor,4,Companion,"Skirmish: Remove an token to make a minion skirmishing Aragorn strength –3. Skirmish: Remove a token to heal a Dwarf. Regroup: If Aragorn is mounted, remove a token to wound a minion twice.",LOTR-EN00S047.0
6M2,6,6 - Ents of Fangorn,M,M,2,"Aragorn, Defender of Free Peoples",Free Peoples,Gondor,4,Companion,"Skirmish: Remove an token to make a minion skirmishing Aragorn strength –3. Skirmish: Remove a token to heal a Dwarf. Regroup: If Aragorn is mounted, remove a token to wound a minion twice.",LOTR-EN06M002.0
6R50,6,6 - Ents of Fangorn,Rare,R,50,"Aragorn, Defender of Free Peoples",Free Peoples,Gondor,4,Companion,"Skirmish: Remove an token to make a minion skirmishing Aragorn strength –3. Skirmish: Remove a token to heal a Dwarf. Regroup: If Aragorn is mounted, remove a token to wound a minion twice.",LOTR-EN06S050.0
0P127,0,0 - Promotional,Promo,P,127,"Aragorn, Defender of Rohan",Free Peoples,Rohan,4,Companion,"Valiant. While the Ring-bearer is assigned to a skirmish, each companion gains hunter 1.",LOTR-EN00S127.0
17O4,17,17 - Rise of Saruman,O,O,4,"Aragorn, Defender of Rohan",Free Peoples,Rohan,4,Companion,"Valiant. While the Ring-bearer is assigned to a skirmish, each companion gains hunter 1.",LOTR-EN17O004.0
17R93,17,17 - Rise of Saruman,Rare,R,93,"Aragorn, Defender of Rohan",Free Peoples,Rohan,4,Companion,"Valiant. While the Ring-bearer is assigned to a skirmish, each companion gains hunter 1.",LOTR-EN17S093.0
17RF12,17,17 - Rise of Saruman,RF,RF,12,"Aragorn, Defender of Rohan",Free Peoples,Rohan,4,Companion,"Valiant. While the Ring-bearer is assigned to a skirmish, each companion gains hunter 1.",LOTR-EN17A012.0
7P364,7,7 - Return of the King,Promo,P,364,"Aragorn, Driven by Need",Free Peoples,Gondor,4,Companion,"While you cannot spot 4 threats, Aragorn is strength +1 for each threat. Regroup: Exert Aragorn twice to remove 3 threats.",LOTR-EN07S364.0
10M1,10,10 - Mount Doom,M,M,1,"Aragorn, Elessar Telcontar",Free Peoples,Gondor,5,Companion,"When you play Aragorn, you may heal another companion. At the start of each fellowship phase, you may exert a companion of one culture to heal a companion of another culture.",LOTR-EN10M001.0
10R25,10,10 - Mount Doom,Rare,R,25,"Aragorn, Elessar Telcontar",Free Peoples,Gondor,5,Companion,"When you play Aragorn, you may heal another companion. At the start of each fellowship phase, you may exert a companion of one culture to heal a companion of another culture.",LOTR-EN10S025.0
11S53,11,11 - Shadows,Starter,S,53,"Aragorn, Guide and Protector",Free Peoples,Gondor,4,Companion,"Ranger. Each time a Free Peoples skirmish event is played, you may exert Aragorn to wound a minion he is skirmishing.",LOTR-EN11S053.0
4C109,4,4 - The Two Towers,Common,C,109,"Aragorn, Heir of Elendil",Free Peoples,Gondor,4,Companion,Defender +1.,LOTR-EN04S109.0
0W33,0,0 - Promotional,W,W,33,"Aragorn, Heir to the Throne of Gondor",Free Peoples,Gondor,4,Companion,"Hunter 2. While you can spot 3 Free Peoples cultures, Aragorn is defender +1. While you can spot 2 Shadow cultures, Aragorn is defender +1.",LOTR-EN00W033.0
18R38,18,18 - Treachery & Deceit,Rare,R,38,"Aragorn, Heir to the Throne of Gondor",Free Peoples,Gondor,4,Companion,"Hunter 2. While you can spot 3 Free Peoples cultures, Aragorn is defender +1. While you can spot 2 Shadow cultures, Aragorn is defender +1.",LOTR-EN18S038.0
3R38,3,3 - Realms of the Elf-lords,Rare,R,38,"Aragorn, Heir to the White City",Free Peoples,Gondor,4,Companion,"Ranger. Each time the fellowship moves during the fellowship phase, remove .",LOTR-EN03S038.0
13O6,13,13 - Bloodlines,O,O,6,"Aragorn, Isildur's Heir",Free Peoples,Gondor,4,Companion,"Aragorn is strength +1 for each card that has a culture token on it. At the start of each assignment phase, you may exert Aragorn to make an unbound companion that has resistance 7 or more defender +1 until the regroup phase.",LOTR-EN13O006.0
13R59,13,13 - Bloodlines,Rare,R,59,"Aragorn, Isildur's Heir",Free Peoples,Gondor,4,Companion,"Aragorn is strength +1 for each card that has a culture token on it. At the start of each assignment phase, you may exert Aragorn to make an unbound companion that has resistance 7 or more defender +1 until the regroup phase.",LOTR-EN13S059.0
13RF7,13,13 - Bloodlines,RF,RF,7,"Aragorn, Isildur's Heir",Free Peoples,Gondor,4,Companion,"Aragorn is strength +1 for each card that has a culture token on it. At the start of each assignment phase, you may exert Aragorn to make an unbound companion that has resistance 7 or more defender +1 until the regroup phase.",LOTR-EN13A007.0
1P365,1,1 - The Fellowship of the Ring,Promo,P,365,"Aragorn, King in Exile",Free Peoples,Gondor,4,Companion,"Ranger. At the start of each of your turns, you may heal another companion who has the Aragorn signet.",LOTR-EN01S365.0
0P14,0,0 - Promotional,Promo,P,14,"Aragorn, Ranger of the North",Free Peoples,Gondor,4,Companion,Ranger. Maneuver: Exert Aragorn to make him defender +1 until the regroup phase.,LOTR-EN00S014.0
1R89,1,1 - The Fellowship of the Ring,Rare,R,89,"Aragorn, Ranger of the North",Free Peoples,Gondor,4,Companion,Ranger. Maneuver: Exert Aragorn to make him defender +1 until the regroup phase.,LOTR-EN01S089.0
11R54,11,11 - Shadows,Rare,R,54,"Aragorn, Strider",Free Peoples,Gondor,1,Companion,"Ranger. Each time the fellowship moves, add .",LOTR-EN11S054.0
11RF7,11,11 - Shadows,RF,RF,7,"Aragorn, Strider",Free Peoples,Gondor,1,Companion,"Ranger. Each time the fellowship moves, add .",LOTR-EN11A007.0
0P125,0,0 - Promotional,Promo,P,125,"Aragorn, Swift Hunter",Free Peoples,Gondor,4,Companion,"Ranger. Hunter 1. (While skirmishing a non-hunter character, this character is strength +1.) Skirmish: Exert Aragorn to make a hunter companion strength +1.",LOTR-EN00S125.0
15S54,15,15 - The Hunters,Starter,S,54,"Aragorn, Swift Hunter",Free Peoples,Gondor,4,Companion,"Ranger. Hunter 1. (While skirmishing a non-hunter character, this character is strength +1.) Skirmish: Exert Aragorn to make a hunter companion strength +1.",LOTR-EN15S054.0
0W6,0,0 - Promotional,W,W,6,"Aragorn, The Dunadan",Free Peoples,Gondor,4,Companion,"Ranger. Triumph - At the start of the maneuver phase, you may wound a minion.",LOTR-EN00W006.0
15O4,15,15 - The Hunters,O,O,4,"Aragorn, Thorongil",Free Peoples,Gondor,4,Companion,"Ranger. Hunter 2. (While skirmishing a non-hunter character, this character is strength +2.) Maneuver: Add a threat to exert a non-hunter minion with strength less than Aragorn's.",LOTR-EN15O004.0
15R55,15,15 - The Hunters,Rare,R,55,"Aragorn, Thorongil",Free Peoples,Gondor,4,Companion,"Ranger. Hunter 2. (While skirmishing a non-hunter character, this character is strength +2.) Maneuver: Add a threat to exert a non-hunter minion with strength less than Aragorn's.",LOTR-EN15S055.0
15RF9,15,15 - The Hunters,RF,RF,9,"Aragorn, Thorongil",Free Peoples,Gondor,4,Companion,"Ranger. Hunter 2. (While skirmishing a non-hunter character, this character is strength +2.) Maneuver: Add a threat to exert a non-hunter minion with strength less than Aragorn's.",LOTR-EN15A009.0
19P12,19,19 - Age's End,Promo,P,12,"Aragorn, Well-traveled Guide",Free Peoples,Gondor,4,Companion,"Fellowship. Ranger. While the Ring-bearer is the only other companion you can spot, Aragorn is an archer, defender +1, and can take no more than 1 wound each skirmish.",LOTR-EN19S012.0
4P364,4,4 - The Two Towers,Promo,P,364,"Aragorn, Wingfoot",Free Peoples,Gondor,4,Companion,"Ranger. Each time the fellowship moves, you may wound a minion for each unbound Hobbit you spot.",LOTR-EN04S364.0
2R49,2,2 - Mines of Moria,Rare,R,49,Archer Commander,Shadow,Moria,4,Minion,Archer. Each other archer is strength +2.,LOTR-EN02S049.0
11U67,11,11 - Shadows,Uncommon,U,67,Archer of Harad,Shadow,Men,3,Minion,"Archer. While you can spot a companion who has resistance 4 or less, the minion archery total is +1.",LOTR-EN11S067.0
12U1,12,12 - Black Rider,Uncommon,U,1,Argument Ready to Hand,Free Peoples,Dwarven,0,Event,Spot a Dwarf to choose a Shadow player who must spot a Shadow race. Discard from play all minions of all other races.,LOTR-EN12S001.0
